control_id,control_name,group,domain_or_lens,normalized_severity,catalog_severity,applicability_for_fnnlr,gateforge_status,evidence_summary,source_required_evidence,fail_condition
D3-CUSTOMER-PORTAL-017,Notification preferences,Customer Portal,D3,P2,"P2 default; escalates based on launch stage, data risk, and feature criticality",applicable,MISSING_EVIDENCE,Control catalog item mapped to fnnlr GA profile; specific evidence must be inspected before PASS.,screenshots/demo; configuration proof; logs or test output; policy or process document; owner and remediation plan,"The capability is absent, unproven, misleading, or unsafe for the requested launch stage."
D3-CUSTOMER-PORTAL-018,API keys if applicable,Customer Portal,D3,P2,"P2 default; escalates based on launch stage, data risk, and feature criticality",applicable,MISSING_EVIDENCE,Control catalog item mapped to fnnlr GA profile; specific evidence must be inspected before PASS.,screenshots/demo; configuration proof; logs or test output; policy or process document; owner and remediation plan,"The capability is absent, unproven, misleading, or unsafe for the requested launch stage."
D3-CUSTOMER-PORTAL-019,Integration settings,Customer Portal,D3,P2,"P2 default; escalates based on launch stage, data risk, and feature criticality",applicable,MISSING_EVIDENCE,Control catalog item mapped to fnnlr GA profile; specific evidence must be inspected before PASS.,screenshots/demo; configuration proof; logs or test output; policy or process document; owner and remediation plan,"The capability is absent, unproven, misleading, or unsafe for the requested launch stage."
D3-CUSTOMER-PORTAL-020,Support access,Customer Portal,D3,P2,"P2 default; escalates based on launch stage, data risk, and feature criticality",applicable,PASS,Commercial/support docs provide repo evidence.,screenshots/demo; configuration proof; logs or test output; policy or process document; owner and remediation plan,"The capability is absent, unproven, misleading, or unsafe for the requested launch stage."
D3-SELF-MANAGEMENT-SELF-001,Update profile,Self Management Self Service,D3,P0,P2 private beta; P1 public/GA; P0 when absence creates billing/privacy/security risk,applicable,PASS,Commercial/support docs provide repo evidence.,screenshots/demo of settings pages; team invite/remove/role-change flows; billing portal or equivalent; data export/delete request flow; audit activity visibility; support fallback for unavailable flows,"Users cannot manage basic account, team, billing, data, or security actions and the gap creates operational, billing, privacy, or security risk."
D3-SELF-MANAGEMENT-SELF-002,Change password,Self Management Self Service,D3,P0,P2 private beta; P1 public/GA; P0 when absence creates billing/privacy/security risk,applicable,PASS,Commercial/support docs provide repo evidence.,screenshots/demo of settings pages; team invite/remove/role-change flows; billing portal or equivalent; data export/delete request flow; audit activity visibility; support fallback for unavailable flows,"Users cannot manage basic account, team, billing, data, or security actions and the gap creates operational, billing, privacy, or security risk."
D3-SELF-MANAGEMENT-SELF-003,Enable MFA if available,Self Management Self Service,D3,P0,P0/P1 when applicable; calibrated by launch stage and risk,applicable,PASS,Commercial/support docs provide repo evidence.,screenshots/demo of settings pages; team invite/remove/role-change flows; billing portal or equivalent; data export/delete request flow; audit activity visibility; support fallback for unavailable flows,"Users cannot manage basic account, team, billing, data, or security actions and the gap creates operational, billing, privacy, or security risk."
D3-SELF-MANAGEMENT-SELF-004,Manage sessions,Self Management Self Service,D3,P0,P0/P1 when applicable; calibrated by launch stage and risk,applicable,PASS,Commercial/support docs provide repo evidence.,screenshots/demo of settings pages; team invite/remove/role-change flows; billing portal or equivalent; data export/delete request flow; audit activity visibility; support fallback for unavailable flows,"Users cannot manage basic account, team, billing, data, or security actions and the gap creates operational, billing, privacy, or security risk."
D3-SELF-MANAGEMENT-SELF-005,Manage notifications,Self Management Self Service,D3,P0,P2 private beta; P1 public/GA; P0 when absence creates billing/privacy/security risk,applicable,PASS,Commercial/support docs provide repo evidence.,screenshots/demo of settings pages; team invite/remove/role-change flows; billing portal or equivalent; data export/delete request flow; audit activity visibility; support fallback for unavailable flows,"Users cannot manage basic account, team, billing, data, or security actions and the gap creates operational, billing, privacy, or security risk."
D3-SELF-MANAGEMENT-SELF-006,Manage preferences,Self Management Self Service,D3,P0,P2 private beta; P1 public/GA; P0 when absence creates billing/privacy/security risk,applicable,PASS,Commercial/support docs provide repo evidence.,screenshots/demo of settings pages; team invite/remove/role-change flows; billing portal or equivalent; data export/delete request flow; audit activity visibility; support fallback for unavailable flows,"Users cannot manage basic account, team, billing, data, or security actions and the gap creates operational, billing, privacy, or security risk."
D3-SELF-MANAGEMENT-SELF-007,Download personal data,Self Management Self Service,D3,P0,P2 private beta; P1 public/GA; P0 when absence creates billing/privacy/security risk,applicable,PASS,Commercial/support docs provide repo evidence.,screenshots/demo of settings pages; team invite/remove/role-change flows; billing portal or equivalent; data export/delete request flow; audit activity visibility; support fallback for unavailable flows,"Users cannot manage basic account, team, billing, data, or security actions and the gap creates operational, billing, privacy, or security risk."
D3-SELF-MANAGEMENT-SELF-008,Request account deletion,Self Management Self Service,D3,P0,P2 private beta; P1 public/GA; P0 when absence creates billing/privacy/security risk,applicable,PASS,Commercial/support docs provide repo evidence.,screenshots/demo of settings pages; team invite/remove/role-change flows; billing portal or equivalent; data export/delete request flow; audit activity visibility; support fallback for unavailable flows,"Users cannot manage basic account, team, billing, data, or security actions and the gap creates operational, billing, privacy, or security risk."
D3-SELF-MANAGEMENT-SELF-009,Create workspace,Self Management Self Service,D3,P0,P2 private beta; P1 public/GA; P0 when absence creates billing/privacy/security risk,applicable,PASS,Commercial/support docs provide repo evidence.,screenshots/demo of settings pages; team invite/remove/role-change flows; billing portal or equivalent; data export/delete request flow; audit activity visibility; support fallback for unavailable flows,"Users cannot manage basic account, team, billing, data, or security actions and the gap creates operational, billing, privacy, or security risk."
D3-SELF-MANAGEMENT-SELF-010,Rename workspace,Self Management Self Service,D3,P0,P2 private beta; P1 public/GA; P0 when absence creates billing/privacy/security risk,applicable,PASS,Commercial/support docs provide repo evidence.,screenshots/demo of settings pages; team invite/remove/role-change flows; billing portal or equivalent; data export/delete request flow; audit activity visibility; support fallback for unavailable flows,"Users cannot manage basic account, team, billing, data, or security actions and the gap creates operational, billing, privacy, or security risk."
D3-SELF-MANAGEMENT-SELF-011,Manage workspace settings,Self Management Self Service,D3,P0,P2 private beta; P1 public/GA; P0 when absence creates billing/privacy/security risk,applicable,PASS,Commercial/support docs provide repo evidence.,screenshots/demo of settings pages; team invite/remove/role-change flows; billing portal or equivalent; data export/delete request flow; audit activity visibility; support fallback for unavailable flows,"Users cannot manage basic account, team, billing, data, or security actions and the gap creates operational, billing, privacy, or security risk."
D3-SELF-MANAGEMENT-SELF-012,Invite team members,Self Management Self Service,D3,P0,P2 private beta; P1 public/GA; P0 when absence creates billing/privacy/security risk,applicable,PASS,Commercial/support docs provide repo evidence.,screenshots/demo of settings pages; team invite/remove/role-change flows; billing portal or equivalent; data export/delete request flow; audit activity visibility; support fallback for unavailable flows,"Users cannot manage basic account, team, billing, data, or security actions and the gap creates operational, billing, privacy, or security risk."
D3-SELF-MANAGEMENT-SELF-013,Remove team members,Self Management Self Service,D3,P0,P2 private beta; P1 public/GA; P0 when absence creates billing/privacy/security risk,applicable,PASS,Commercial/support docs provide repo evidence.,screenshots/demo of settings pages; team invite/remove/role-change flows; billing portal or equivalent; data export/delete request flow; audit activity visibility; support fallback for unavailable flows,"Users cannot manage basic account, team, billing, data, or security actions and the gap creates operational, billing, privacy, or security risk."
D3-SELF-MANAGEMENT-SELF-014,Change roles,Self Management Self Service,D3,P0,P2 private beta; P1 public/GA; P0 when absence creates billing/privacy/security risk,applicable,PASS,Commercial/support docs provide repo evidence.,screenshots/demo of settings pages; team invite/remove/role-change flows; billing portal or equivalent; data export/delete request flow; audit activity visibility; support fallback for unavailable flows,"Users cannot manage basic account, team, billing, data, or security actions and the gap creates operational, billing, privacy, or security risk."
D3-SELF-MANAGEMENT-SELF-015,Transfer ownership,Self Management Self Service,D3,P0,P2 private beta; P1 public/GA; P0 when absence creates billing/privacy/security risk,applicable,PASS,Commercial/support docs provide repo evidence.,screenshots/demo of settings pages; team invite/remove/role-change flows; billing portal or equivalent; data export/delete request flow; audit activity visibility; support fallback for unavailable flows,"Users cannot manage basic account, team, billing, data, or security actions and the gap creates operational, billing, privacy, or security risk."
D3-SELF-MANAGEMENT-SELF-016,Manage seats,Self Management Self Service,D3,P0,P2 private beta; P1 public/GA; P0 when absence creates billing/privacy/security risk,applicable,PASS,Commercial/support docs provide repo evidence.,screenshots/demo of settings pages; team invite/remove/role-change flows; billing portal or equivalent; data export/delete request flow; audit activity visibility; support fallback for unavailable flows,"Users cannot manage basic account, team, billing, data, or security actions and the gap creates operational, billing, privacy, or security risk."
D3-SELF-MANAGEMENT-SELF-017,Manage usage limits,Self Management Self Service,D3,P0,P2 private beta; P1 public/GA; P0 when absence creates billing/privacy/security risk,applicable,PASS,Commercial/support docs provide repo evidence.,screenshots/demo of settings pages; team invite/remove/role-change flows; billing portal or equivalent; data export/delete request flow; audit activity visibility; support fallback for unavailable flows,"Users cannot manage basic account, team, billing, data, or security actions and the gap creates operational, billing, privacy, or security risk."
D3-SELF-MANAGEMENT-SELF-018,Configure defaults,Self Management Self Service,D3,P0,P2 private beta; P1 public/GA; P0 when absence creates billing/privacy/security risk,applicable,PASS,Commercial/support docs provide repo evidence.,screenshots/demo of settings pages; team invite/remove/role-change flows; billing portal or equivalent; data export/delete request flow; audit activity visibility; support fallback for unavailable flows,"Users cannot manage basic account, team, billing, data, or security actions and the gap creates operational, billing, privacy, or security risk."
D3-SELF-MANAGEMENT-SELF-019,View current plan,Self Management Self Service,D3,P0,P2 private beta; P1 public/GA; P0 when absence creates billing/privacy/security risk,applicable,PASS,Commercial/support docs provide repo evidence.,screenshots/demo of settings pages; team invite/remove/role-change flows; billing portal or equivalent; data export/delete request flow; audit activity visibility; support fallback for unavailable flows,"Users cannot manage basic account, team, billing, data, or security actions and the gap creates operational, billing, privacy, or security risk."
D3-SELF-MANAGEMENT-SELF-020,Upgrade plan,Self Management Self Service,D3,P0,P2 private beta; P1 public/GA; P0 when absence creates billing/privacy/security risk,applicable,PASS,Commercial/support docs provide repo evidence.,screenshots/demo of settings pages; team invite/remove/role-change flows; billing portal or equivalent; data export/delete request flow; audit activity visibility; support fallback for unavailable flows,"Users cannot manage basic account, team, billing, data, or security actions and the gap creates operational, billing, privacy, or security risk."
D3-SELF-MANAGEMENT-SELF-021,Downgrade plan,Self Management Self Service,D3,P0,P2 private beta; P1 public/GA; P0 when absence creates billing/privacy/security risk,applicable,PASS,Commercial/support docs provide repo evidence.,screenshots/demo of settings pages; team invite/remove/role-change flows; billing portal or equivalent; data export/delete request flow; audit activity visibility; support fallback for unavailable flows,"Users cannot manage basic account, team, billing, data, or security actions and the gap creates operational, billing, privacy, or security risk."
D3-SELF-MANAGEMENT-SELF-022,Cancel subscription,Self Management Self Service,D3,P0,P2 private beta; P1 public/GA; P0 when absence creates billing/privacy/security risk,applicable,PASS,Commercial/support docs provide repo evidence.,screenshots/demo of settings pages; team invite/remove/role-change flows; billing portal or equivalent; data export/delete request flow; audit activity visibility; support fallback for unavailable flows,"Users cannot manage basic account, team, billing, data, or security actions and the gap creates operational, billing, privacy, or security risk."
D3-SELF-MANAGEMENT-SELF-023,Update payment method,Self Management Self Service,D3,P0,P2 private beta; P1 public/GA; P0 when absence creates billing/privacy/security risk,applicable,PASS,Commercial/support docs provide repo evidence.,screenshots/demo of settings pages; team invite/remove/role-change flows; billing portal or equivalent; data export/delete request flow; audit activity visibility; support fallback for unavailable flows,"Users cannot manage basic account, team, billing, data, or security actions and the gap creates operational, billing, privacy, or security risk."
D3-SELF-MANAGEMENT-SELF-024,View invoices,Self Management Self Service,D3,P0,P2 private beta; P1 public/GA; P0 when absence creates billing/privacy/security risk,applicable,PASS,Commercial/support docs provide repo evidence.,screenshots/demo of settings pages; team invite/remove/role-change flows; billing portal or equivalent; data export/delete request flow; audit activity visibility; support fallback for unavailable flows,"Users cannot manage basic account, team, billing, data, or security actions and the gap creates operational, billing, privacy, or security risk."
D3-SELF-MANAGEMENT-SELF-025,Download receipts,Self Management Self Service,D3,P0,P2 private beta; P1 public/GA; P0 when absence creates billing/privacy/security risk,applicable,PASS,Commercial/support docs provide repo evidence.,screenshots/demo of settings pages; team invite/remove/role-change flows; billing portal or equivalent; data export/delete request flow; audit activity visibility; support fallback for unavailable flows,"Users cannot manage basic account, team, billing, data, or security actions and the gap creates operational, billing, privacy, or security risk."
D3-SELF-MANAGEMENT-SELF-026,Handle failed payment,Self Management Self Service,D3,P0,P0/P1 when applicable; calibrated by launch stage and risk,applicable,PASS,Commercial/support docs provide repo evidence.,screenshots/demo of settings pages; team invite/remove/role-change flows; billing portal or equivalent; data export/delete request flow; audit activity visibility; support fallback for unavailable flows,"Users cannot manage basic account, team, billing, data, or security actions and the gap creates operational, billing, privacy, or security risk."
D3-SELF-MANAGEMENT-SELF-027,View trial status,Self Management Self Service,D3,P0,P2 private beta; P1 public/GA; P0 when absence creates billing/privacy/security risk,applicable,PASS,Commercial/support docs provide repo evidence.,screenshots/demo of settings pages; team invite/remove/role-change flows; billing portal or equivalent; data export/delete request flow; audit activity visibility; support fallback for unavailable flows,"Users cannot manage basic account, team, billing, data, or security actions and the gap creates operational, billing, privacy, or security risk."
D3-SELF-MANAGEMENT-SELF-028,Understand renewal date,Self Management Self Service,D3,P0,P2 private beta; P1 public/GA; P0 when absence creates billing/privacy/security risk,applicable,PASS,Commercial/support docs provide repo evidence.,screenshots/demo of settings pages; team invite/remove/role-change flows; billing portal or equivalent; data export/delete request flow; audit activity visibility; support fallback for unavailable flows,"Users cannot manage basic account, team, billing, data, or security actions and the gap creates operational, billing, privacy, or security risk."
D3-SELF-MANAGEMENT-SELF-029,Export workspace data,Self Management Self Service,D3,P0,P2 private beta; P1 public/GA; P0 when absence creates billing/privacy/security risk,applicable,PASS,Commercial/support docs provide repo evidence.,screenshots/demo of settings pages; team invite/remove/role-change flows; billing portal or equivalent; data export/delete request flow; audit activity visibility; support fallback for unavailable flows,"Users cannot manage basic account, team, billing, data, or security actions and the gap creates operational, billing, privacy, or security risk."
D3-SELF-MANAGEMENT-SELF-030,Delete workspace data,Self Management Self Service,D3,P0,P2 private beta; P1 public/GA; P0 when absence creates billing/privacy/security risk,applicable,PASS,Commercial/support docs provide repo evidence.,screenshots/demo of settings pages; team invite/remove/role-change flows; billing portal or equivalent; data export/delete request flow; audit activity visibility; support fallback for unavailable flows,"Users cannot manage basic account, team, billing, data, or security actions and the gap creates operational, billing, privacy, or security risk."
D3-SELF-MANAGEMENT-SELF-031,Manage retention settings,Self Management Self Service,D3,P0,P2 private beta; P1 public/GA; P0 when absence creates billing/privacy/security risk,applicable,PASS,Commercial/support docs provide repo evidence.,screenshots/demo of settings pages; team invite/remove/role-change flows; billing portal or equivalent; data export/delete request flow; audit activity visibility; support fallback for unavailable flows,"Users cannot manage basic account, team, billing, data, or security actions and the gap creates operational, billing, privacy, or security risk."
D3-SELF-MANAGEMENT-SELF-032,Manage integrations data,Self Management Self Service,D3,P0,P2 private beta; P1 public/GA; P0 when absence creates billing/privacy/security risk,applicable,PASS,Commercial/support docs provide repo evidence.,screenshots/demo of settings pages; team invite/remove/role-change flows; billing portal or equivalent; data export/delete request flow; audit activity visibility; support fallback for unavailable flows,"Users cannot manage basic account, team, billing, data, or security actions and the gap creates operational, billing, privacy, or security risk."
D3-SELF-MANAGEMENT-SELF-033,Revoke API tokens,Self Management Self Service,D3,P0,P2 private beta; P1 public/GA; P0 when absence creates billing/privacy/security risk,applicable,PASS,Commercial/support docs provide repo evidence.,screenshots/demo of settings pages; team invite/remove/role-change flows; billing portal or equivalent; data export/delete request flow; audit activity visibility; support fallback for unavailable flows,"Users cannot manage basic account, team, billing, data, or security actions and the gap creates operational, billing, privacy, or security risk."
D3-SELF-MANAGEMENT-SELF-034,Audit activity,Self Management Self Service,D3,P0,P2 private beta; P1 public/GA; P0 when absence creates billing/privacy/security risk,applicable,PASS,Commercial/support docs provide repo evidence.,screenshots/demo of settings pages; team invite/remove/role-change flows; billing portal or equivalent; data export/delete request flow; audit activity visibility; support fallback for unavailable flows,"Users cannot manage basic account, team, billing, data, or security actions and the gap creates operational, billing, privacy, or security risk."
D3-ADMIN-PORTAL-001,Admin login security,Admin Portal,D3,P0,P0 when admin can access customer data; P1/P2 for operational-only admin tools,applicable,MISSING_EVIDENCE,Control catalog item mapped to fnnlr GA profile; specific evidence must be inspected before PASS.,admin RBAC matrix; admin MFA configuration; audit log examples for sensitive actions; impersonation workflow proof; admin session timeout configuration; read-only mode or approval workflow,"Admin or super-admin can access or change customer data without least privilege, MFA, audit logs, or authorization boundaries."
D3-ADMIN-PORTAL-002,Admin MFA,Admin Portal,D3,P0,P0/P1 when applicable; calibrated by launch stage and risk,applicable,MISSING_EVIDENCE,Control catalog item mapped to fnnlr GA profile; specific evidence must be inspected before PASS.,admin RBAC matrix; admin MFA configuration; audit log examples for sensitive actions; impersonation workflow proof; admin session timeout configuration; read-only mode or approval workflow,"Admin or super-admin can access or change customer data without least privilege, MFA, audit logs, or authorization boundaries."
D3-ADMIN-PORTAL-003,Admin RBAC,Admin Portal,D3,P0,P0 when admin can access customer data; P1/P2 for operational-only admin tools,applicable,MISSING_EVIDENCE,Control catalog item mapped to fnnlr GA profile; specific evidence must be inspected before PASS.,admin RBAC matrix; admin MFA configuration; audit log examples for sensitive actions; impersonation workflow proof; admin session timeout configuration; read-only mode or approval workflow,"Admin or super-admin can access or change customer data without least privilege, MFA, audit logs, or authorization boundaries."
D3-ADMIN-PORTAL-004,Super admin separation,Admin Portal,D3,P0,P0 when admin can access customer data; P1/P2 for operational-only admin tools,applicable,MISSING_EVIDENCE,Control catalog item mapped to fnnlr GA profile; specific evidence must be inspected before PASS.,admin RBAC matrix; admin MFA configuration; audit log examples for sensitive actions; impersonation workflow proof; admin session timeout configuration; read-only mode or approval workflow,"Admin or super-admin can access or change customer data without least privilege, MFA, audit logs, or authorization boundaries."
D3-ADMIN-PORTAL-005,Tenant search,Admin Portal,D3,P0,P0 when admin can access customer data; P1/P2 for operational-only admin tools,applicable,PARTIAL,Code/tests/docs show tenant-isolation work; live DB evidence remains missing.,admin RBAC matrix; admin MFA configuration; audit log examples for sensitive actions; impersonation workflow proof; admin session timeout configuration; read-only mode or approval workflow,"Admin or super-admin can access or change customer data without least privilege, MFA, audit logs, or authorization boundaries."
D3-ADMIN-PORTAL-006,User search,Admin Portal,D3,P0,P0 when admin can access customer data; P1/P2 for operational-only admin tools,applicable,MISSING_EVIDENCE,Control catalog item mapped to fnnlr GA profile; specific evidence must be inspected before PASS.,admin RBAC matrix; admin MFA configuration; audit log examples for sensitive actions; impersonation workflow proof; admin session timeout configuration; read-only mode or approval workflow,"Admin or super-admin can access or change customer data without least privilege, MFA, audit logs, or authorization boundaries."
D3-ADMIN-PORTAL-007,View customer account,Admin Portal,D3,P0,P0 when admin can access customer data; P1/P2 for operational-only admin tools,applicable,MISSING_EVIDENCE,Control catalog item mapped to fnnlr GA profile; specific evidence must be inspected before PASS.,admin RBAC matrix; admin MFA configuration; audit log examples for sensitive actions; impersonation workflow proof; admin session timeout configuration; read-only mode or approval workflow,"Admin or super-admin can access or change customer data without least privilege, MFA, audit logs, or authorization boundaries."
D3-ADMIN-PORTAL-008,Subscription management,Admin Portal,D3,P0,P0 when admin can access customer data; P1/P2 for operational-only admin tools,applicable,MISSING_EVIDENCE,Control catalog item mapped to fnnlr GA profile; specific evidence must be inspected before PASS.,admin RBAC matrix; admin MFA configuration; audit log examples for sensitive actions; impersonation workflow proof; admin session timeout configuration; read-only mode or approval workflow,"Admin or super-admin can access or change customer data without least privilege, MFA, audit logs, or authorization boundaries."
D3-ADMIN-PORTAL-009,Refund and billing actions,Admin Portal,D3,P0,P0 when admin can access customer data; P1/P2 for operational-only admin tools,applicable,MISSING_EVIDENCE,Control catalog item mapped to fnnlr GA profile; specific evidence must be inspected before PASS.,admin RBAC matrix; admin MFA configuration; audit log examples for sensitive actions; impersonation workflow proof; admin session timeout configuration; read-only mode or approval workflow,"Admin or super-admin can access or change customer data without least privilege, MFA, audit logs, or authorization boundaries."
D3-ADMIN-PORTAL-010,Usage inspection,Admin Portal,D3,P0,P0 when admin can access customer data; P1/P2 for operational-only admin tools,applicable,MISSING_EVIDENCE,Control catalog item mapped to fnnlr GA profile; specific evidence must be inspected before PASS.,admin RBAC matrix; admin MFA configuration; audit log examples for sensitive actions; impersonation workflow proof; admin session timeout configuration; read-only mode or approval workflow,"Admin or super-admin can access or change customer data without least privilege, MFA, audit logs, or authorization boundaries."
D3-ADMIN-PORTAL-011,Feature flags,Admin Portal,D3,P0,P0 when admin can access customer data; P1/P2 for operational-only admin tools,applicable,MISSING_EVIDENCE,Control catalog item mapped to fnnlr GA profile; specific evidence must be inspected before PASS.,admin RBAC matrix; admin MFA configuration; audit log examples for sensitive actions; impersonation workflow proof; admin session timeout configuration; read-only mode or approval workflow,"Admin or super-admin can access or change customer data without least privilege, MFA, audit logs, or authorization boundaries."
D3-ADMIN-PORTAL-012,Account suspension,Admin Portal,D3,P0,P0 when admin can access customer data; P1/P2 for operational-only admin tools,applicable,MISSING_EVIDENCE,Control catalog item mapped to fnnlr GA profile; specific evidence must be inspected before PASS.,admin RBAC matrix; admin MFA configuration; audit log examples for sensitive actions; impersonation workflow proof; admin session timeout configuration; read-only mode or approval workflow,"Admin or super-admin can access or change customer data without least privilege, MFA, audit logs, or authorization boundaries."
D3-ADMIN-PORTAL-013,Support notes,Admin Portal,D3,P0,P0 when admin can access customer data; P1/P2 for operational-only admin tools,applicable,PASS,Commercial/support docs provide repo evidence.,admin RBAC matrix; admin MFA configuration; audit log examples for sensitive actions; impersonation workflow proof; admin session timeout configuration; read-only mode or approval workflow,"Admin or super-admin can access or change customer data without least privilege, MFA, audit logs, or authorization boundaries."
D3-ADMIN-PORTAL-014,Audit logs,Admin Portal,D3,P0,P0/P1 when applicable; calibrated by launch stage and risk,applicable,MISSING_EVIDENCE,Control catalog item mapped to fnnlr GA profile; specific evidence must be inspected before PASS.,admin RBAC matrix; admin MFA configuration; audit log examples for sensitive actions; impersonation workflow proof; admin session timeout configuration; read-only mode or approval workflow,"Admin or super-admin can access or change customer data without least privilege, MFA, audit logs, or authorization boundaries."
D3-ADMIN-PORTAL-015,Admin action logging,Admin Portal,D3,P0,P0 when admin can access customer data; P1/P2 for operational-only admin tools,applicable,MISSING_EVIDENCE,Control catalog item mapped to fnnlr GA profile; specific evidence must be inspected before PASS.,admin RBAC matrix; admin MFA configuration; audit log examples for sensitive actions; impersonation workflow proof; admin session timeout configuration; read-only mode or approval workflow,"Admin or super-admin can access or change customer data without least privilege, MFA, audit logs, or authorization boundaries."
D3-ADMIN-PORTAL-016,Impersonation controls,Admin Portal,D3,P0,P0 when admin can access customer data; P1/P2 for operational-only admin tools,applicable,MISSING_EVIDENCE,Control catalog item mapped to fnnlr GA profile; specific evidence must be inspected before PASS.,admin RBAC matrix; admin MFA configuration; audit log examples for sensitive actions; impersonation workflow proof; admin session timeout configuration; read-only mode or approval workflow,"Admin or super-admin can access or change customer data without least privilege, MFA, audit logs, or authorization boundaries."
D3-ADMIN-PORTAL-017,Impersonation consent or notification,Admin Portal,D3,P0,P0 when admin can access customer data; P1/P2 for operational-only admin tools,applicable,MISSING_EVIDENCE,Control catalog item mapped to fnnlr GA profile; specific evidence must be inspected before PASS.,admin RBAC matrix; admin MFA configuration; audit log examples for sensitive actions; impersonation workflow proof; admin session timeout configuration; read-only mode or approval workflow,"Admin or super-admin can access or change customer data without least privilege, MFA, audit logs, or authorization boundaries."
D3-ADMIN-PORTAL-018,Read-only mode,Admin Portal,D3,P0,P0 when admin can access customer data; P1/P2 for operational-only admin tools,applicable,MISSING_EVIDENCE,Control catalog item mapped to fnnlr GA profile; specific evidence must be inspected before PASS.,admin RBAC matrix; admin MFA configuration; audit log examples for sensitive actions; impersonation workflow proof; admin session timeout configuration; read-only mode or approval workflow,"Admin or super-admin can access or change customer data without least privilege, MFA, audit logs, or authorization boundaries."
D3-ADMIN-PORTAL-019,Admin data access approval,Admin Portal,D3,P0,P0 when admin can access customer data; P1/P2 for operational-only admin tools,applicable,MISSING_EVIDENCE,Control catalog item mapped to fnnlr GA profile; specific evidence must be inspected before PASS.,admin RBAC matrix; admin MFA configuration; audit log examples for sensitive actions; impersonation workflow proof; admin session timeout configuration; read-only mode or approval workflow,"Admin or super-admin can access or change customer data without least privilege, MFA, audit logs, or authorization boundaries."
D3-ADMIN-PORTAL-020,Admin session timeout,Admin Portal,D3,P0,P0/P1 when applicable; calibrated by launch stage and risk,applicable,MISSING_EVIDENCE,Control catalog item mapped to fnnlr GA profile; specific evidence must be inspected before PASS.,admin RBAC matrix; admin MFA configuration; audit log examples for sensitive actions; impersonation workflow proof; admin session timeout configuration; read-only mode or approval workflow,"Admin or super-admin can access or change customer data without least privilege, MFA, audit logs, or authorization boundaries."
D3-ADMIN-PORTAL-021,Sensitive action confirmation,Admin Portal,D3,P0,P0 when admin can access customer data; P1/P2 for operational-only admin tools,applicable,MISSING_EVIDENCE,Control catalog item mapped to fnnlr GA profile; specific evidence must be inspected before PASS.,admin RBAC matrix; admin MFA configuration; audit log examples for sensitive actions; impersonation workflow proof; admin session timeout configuration; read-only mode or approval workflow,"Admin or super-admin can access or change customer data without least privilege, MFA, audit logs, or authorization boundaries."
D3-ADMIN-PORTAL-022,Role escalation protection,Admin Portal,D3,P0,P0 when admin can access customer data; P1/P2 for operational-only admin tools,applicable,MISSING_EVIDENCE,Control catalog item mapped to fnnlr GA profile; specific evidence must be inspected before PASS.,admin RBAC matrix; admin MFA configuration; audit log examples for sensitive actions; impersonation workflow proof; admin session timeout configuration; read-only mode or approval workflow,"Admin or super-admin can access or change customer data without least privilege, MFA, audit logs, or authorization boundaries."
D3-ADMIN-PORTAL-023,Export restrictions,Admin Portal,D3,P0,P0 when admin can access customer data; P1/P2 for operational-only admin tools,applicable,MISSING_EVIDENCE,Control catalog item mapped to fnnlr GA profile; specific evidence must be inspected before PASS.,admin RBAC matrix; admin MFA configuration; audit log examples for sensitive actions; impersonation workflow proof; admin session timeout configuration; read-only mode or approval workflow,"Admin or super-admin can access or change customer data without least privilege, MFA, audit logs, or authorization boundaries."
D3-ADMIN-PORTAL-024,Internal notes security,Admin Portal,D3,P0,P0 when admin can access customer data; P1/P2 for operational-only admin tools,applicable,MISSING_EVIDENCE,Control catalog item mapped to fnnlr GA profile; specific evidence must be inspected before PASS.,admin RBAC matrix; admin MFA configuration; audit log examples for sensitive actions; impersonation workflow proof; admin session timeout configuration; read-only mode or approval workflow,"Admin or super-admin can access or change customer data without least privilege, MFA, audit logs, or authorization boundaries."
D3-ADMIN-PORTAL-025,Incident tools,Admin Portal,D3,P0,P0 when admin can access customer data; P1/P2 for operational-only admin tools,applicable,MISSING_EVIDENCE,Control catalog item mapped to fnnlr GA profile; specific evidence must be inspected before PASS.,admin RBAC matrix; admin MFA configuration; audit log examples for sensitive actions; impersonation workflow proof; admin session timeout configuration; read-only mode or approval workflow,"Admin or super-admin can access or change customer data without least privilege, MFA, audit logs, or authorization boundaries."
D3-ADMIN-PORTAL-026,Customer health view,Admin Portal,D3,P0,P0 when admin can access customer data; P1/P2 for operational-only admin tools,applicable,MISSING_EVIDENCE,Control catalog item mapped to fnnlr GA profile; specific evidence must be inspected before PASS.,admin RBAC matrix; admin MFA configuration; audit log examples for sensitive actions; impersonation workflow proof; admin session timeout configuration; read-only mode or approval workflow,"Admin or super-admin can access or change customer data without least privilege, MFA, audit logs, or authorization boundaries."
D3-ADMIN-PORTAL-027,Plan override logs,Admin Portal,D3,P0,P0 when admin can access customer data; P1/P2 for operational-only admin tools,applicable,MISSING_EVIDENCE,Control catalog item mapped to fnnlr GA profile; specific evidence must be inspected before PASS.,admin RBAC matrix; admin MFA configuration; audit log examples for sensitive actions; impersonation workflow proof; admin session timeout configuration; read-only mode or approval workflow,"Admin or super-admin can access or change customer data without least privilege, MFA, audit logs, or authorization boundaries."
